mu,f_eps=0.01,f_eps=0.1,f_eps=0.3
0.04297004704320839,1.0138898724404435,1.0100089394211182,1.0014640226124303
0.0447459536921003,1.0144637261796168,1.0104218278314032,1.0015258651262966
0.046595256686646824,1.0150612765201126,1.0108517136034518,1.0015903738257004
0.04852098942027479,1.0156835006911409,1.0112992933362879,1.0016576678984044
0.0505263106533568,1.0163314160751384,1.01176529189074,1.0017278721774265
0.052614509694494604,1.0170060818408682,1.0122504635094103,1.0018011174305217
0.054789011795939424,1.0177086006403562,1.0127555929778516,1.0018775406652278
0.057053383771999505,1.0184401203723907,1.0132814968286725,1.00195728545086
0.05941133984965034,1.0192018360147652,1.0138290245896941,1.0020405022582757
0.06186674776094437,1.0199949915284001,1.0143990600782211,1.002127348819217
0.0644236350872137,1.0208208818341638,1.0149925227411145,1.0022179905047675
0.06708619586547218,1.0216808548666383,1.0156103690437392,1.0023126007258416
0.0698587974678525,1.0225763137059818,1.0162535939077317,1.0024113613556347
0.07274598776536367,1.0235087187906804,1.016923232199124,1.0025144631756246
0.07575250258771912,1.0244795902143422,1.0176203602686755,1.002622106347085
0.07888327349147113,1.0254905101077356,1.0183460975442922,1.0027345009082902
0.08214343584919426,1.026543125109836,1.0191016081779032,1.0028518673001205
0.0855383372729865,1.0276391489291667,1.0198881027466893,1.0029744369204983
0.0890735463861044,1.0287803649987493,1.0207068400105122,1.0031024527101582
0.09275486195712065,1.02996862922617,1.0215591287255896,1.003236169770636
0.09658832241158703,1.0312058728415574,1.0224463295156947,1.0033758560167791
0.10058021573680417,1.032494105345012,1.0233698568009102,1.0035217928650415
0.10473708979594497,1.0338354175557736,1.0243311807846733,1.0036742759597714
0.10906576306844964,1.0352319847644722,1.025331829498926,1.0038336159390235
0.11357333583431052,1.0366860699903704,1.0263733909077268,1.0040001392422546
0.11826720182059093,1.0382000273441412,1.0274575150683625,1.004174188961286
0.12315506032928256,1.0397763054975864,1.0285859163498614,1.0043561257370728
0.12824492886639474,1.0414174512602081,1.029760375707396,1.0045463287038432
0.13354515629298988,1.043126113262875,1.0309827430114227,1.0047451964829188
0.1390644365197382,1.0449050457477411,1.0322549394294511,1.0049531482280543
0.14481182276745339,1.0467571124631834,1.0335789598580414,1.0051706247243304
0.15079674241700075,1.0486852906616904,1.0349568754019478,1.0053980895425492
0.15702901247293774,1.0506926751975716,1.0363908358964529,1.005636030250807
0.16351885566624869,1.0527824827208212,1.0378830724686345,1.0058849596852826
0.17027691722258995,1.0549580559616383,1.0394359001317448,1.006145417281518
0.17731428232354832,1.0572228680993592,1.0410517204064833,1.006417970467826
0.18464249428955434,1.0595805272076957,1.0427330239614678,1.0067032161219422
0.1922735735142775,1.0620347807664297,1.0444823932639618,1.0070017820917616
0.20022003718155845,1.0645895202279545,1.046302505230684,1.0073143287808521
0.20849491979722246,1.0672487856244928,1.0481961338666625,1.0076415507987815
0.21711179456945043,1.070016770199384,1.0501661528783948,1.0079841786759245
0.22608479567277773,1.0728978250430552,1.052215538245706,1.0083429806419364
0.2354286414322418,1.0758964637106645,1.0543473707341133,1.0087187644661422
0.24515865846570425,1.0790173667949696,1.0565648383272677,1.0091123793575343
0.25529080682395167,1.0822653864236653,1.0588712385561052,1.0095247179210691
0.26584170616980873,1.0856455506455944,1.0612699806981365,1.0099567181658051
0.2768286630392065,1.0891630676651063,1.063764587816945,1.0104093655593689
0.28826969922892337,1.0928233298776568,1.0663586986079272,1.0108836951216824
0.3001835813575589,1.0966319176531636,1.0690560690120856,1.011380793549401
0.3125898516482341,1.100594602806018,1.0718605735548068,1.0119018013606138
0.3255088599835058,1.10471735168233,1.0747762063613169,1.012447915047375
0.3389617972850788,1.109006327785545,1.0778070817945766,1.013020389221284
0.352970730273065,1.1134678938511733,1.0809574346549304,1.0136205387347266
0.3675586376618058,1.1181086132697104,1.0842316198736495,1.014249740757472
0.3827494478516313,1.1229352507440367,1.0876341116247115,1.0149094367850695
0.3985680781783775,1.1279547720532395,1.0911695017704923,1.015601134551819
0.41504047578504744,1.1331743427791623,1.0948424975476794,1.0163264098170801
0.4321936601826527,1.1386013258345948,1.0986579183893914,1.0170869079891691
0.4500557675700497,1.1442432776130926,1.1026206917683645,1.0178843455461912
0.46865609698547045,1.1501079425595924,1.1067358479339438,1.0187205112077105
0.48802515836544313,1.1562032459383416,1.1110085134025045,1.0195972668051971
0.5081947225899414,1.1625372845501323,1.1154439030469496,1.0205165477927252
0.5291978735958442,1.1691183151242621,1.12004731061586,1.021480363332332
0.5510690626441895,1.1759547400822135,1.124824097496954,1.0224907958808462
0.5738441648302396,1.183055090339603,1.1297796795226394,1.0235500001967817
0.5975605379290422,1.1904280047808327,1.1349195115978483,1.024660201677147
0.6222570836730228,1.1980822060070655,1.1402490699120715,1.0258236939247345
0.6479743115621105,1.2060264719231422,1.145773831478827,1.0270428354366399
0.6747544053110693,1.2142696026930881,1.1514992507269664,1.0283200452945431
0.7026412920430313,1.2228203825576973,1.1574307328496027,1.029657797726726
0.7316807143427196,1.231687535971993,1.1635736035985562,1.0310586154010153
0.7619203052875606,1.2408796774861481,1.1699330751955914,1.032525061297055
0.7934096665797492,1.2504052547620996,1.1765142080172284,1.034059728995698
0.8262004499074292,1.2602724840910513,1.183321867698361,1.0356652312131711
0.8603464416684504,1.2704892777565047,1.190360677292576,1.0373441863983988
0.8959036511956614,1.2810631625756,1.1976349641252297,1.0390992032038724
0.9329304026284686,1.2920011889515277,1.2051487009806832,1.0409328626342877
0.9714874305813421,1.3033098297848331,1.2129054412795741,1.0428476976735048
1.011637979766207,1.3149948686258646,1.220908247927864,1.0448461701900107
1.0534479087321176,1.3270612765089875,1.2291596155592628,1.046930644924886
1.096985797892384,1.3395130769970245,1.237661385949491,1.0491033603754125
1.1423230620163465,1.3523531990877304,1.2464146564580272,1.051366396403157
1.1895340673703196,1.3655833177997807,1.255419681454201,1.0537216384190875
1.2386962536998378,1.3792036824710598,1.2646757668137287,1.0561707380315974
1.289890261253308,1.3932129330747423,1.2741811577332987,1.058715070088095
1.3432000630554153,1.4076079051967278,1.2839329203088916,1.0613556860989701
1.3987131026472386,1.4223834247292255,1.293926817562508,1.0640932641063703
1.4565204375190304,1.4375320938267264,1.3041571808857066,1.0669280551514646
