diameter_um,dTj_K_10.0uA_lo,dTj_K_10.0uA_hi,dTj_K_50.0uA_lo,dTj_K_50.0uA_hi,dTj_K_200.0uA_lo,dTj_K_200.0uA_hi
1.2152542372881356,0.3375822075455517,1.590336181110132,1.6961865014377793,8.121049483589488,6.9108170044450645,35.16226803109245
1.2610169491525425,0.31440904595200436,1.4773724709696268,1.5792484038707215,7.533095618174187,6.426629383323942,32.436718755390785
1.306779661016949,0.29359930337815854,1.3761058837280444,1.474299337233063,7.007470625687105,5.993050454529538,30.024001437420864
1.352542372881356,0.27484020541584187,1.2849721175618214,1.3797426801987172,6.535606430750434,5.603191741259252,27.87725098061638
1.3983050847457628,0.2578691907852857,1.2026594965032587,1.2942409087397664,6.110366049165805,5.251305585485866,25.958151847011578
1.4440677966101696,0.2424645260876872,1.1280625081290907,1.21666479874078,5.725764768032491,4.932564642807222,24.235136041146575
1.4898305084745764,0.22843790689965715,1.0602438179926565,1.1460567322042863,5.376752943829501,4.642889734149392,22.681970402520236
1.535593220338983,0.21562857859670714,0.998404440145606,1.0815999908178213,5.059045283193171,4.378814265629629,21.276717663199605
1.5813559322033899,0.203898630136635,0.9418599089483024,1.022594536267576,4.768985540077125,4.137376573782376,20.000908797648222
1.6271186440677967,0.19312920061615557,0.8900211096948141,0.968437519695101,4.50343844901046,3.9160337912798866,18.838900149960722
1.6728813559322033,0.18321740161722744,0.84237875449125,0.9186074923627245,4.259702785597,3.712591528239443,17.777366178773633
1.7186440677966102,0.17407380494724123,0.7984907315115777,0.8726515345514656,4.035440948678158,3.525151307169139,16.804892465667706
1.764406779661017,0.1656203800319389,0.7579717350164117,0.83017470143254,3.8286207116062627,3.352058836819026,15.911666779493231
1.8101694915254238,0.15778879122089506,0.7204847176585361,0.7908313206507529,3.637471641146618,3.1918702312651988,15.089195466614783
1.8559322033898307,0.1505189849325319,0.6857338078076651,0.7543177789871152,3.460440905453865,3.0433198264045416,14.33010699942129
1.9016949152542373,0.1437580115556898,0.6534584115913589,0.7203665135258035,3.296164788371584,2.9052943146876657,13.627974409931085
1.9474576271186441,0.1374590385337342,0.6234282783111667,0.6887409825604038,3.1434409246864163,2.7768111690688926,12.977172618844818
1.993220338983051,0.13158048589247073,0.5954393533807689,0.6592314376260333,3.0012058541668267,2.65700056008194,12.372760432400199
2.0389830508474573,0.12608546352008432,0.5693102782612129,0.6316513538922521,2.8685161452467725,2.545090132758318,11.810382428607227
2.084745762711864,0.12094096319586356,0.5448794244774859,0.6058344041753116,2.7445324525146333,2.440392136672898,11.286186974659898
2.130508474576271,0.11611749660058024,0.5220023705094547,0.581631883864759,2.628505997065389,2.342292501421838,10.79675740051782
2.176271186440678,0.11158862501719113,0.5005497475155636,0.5589105114895574,2.519767056944218,2.2502415277773764,10.33905395913419
2.2220338983050847,0.1073305877660431,0.48040539349614164,0.5375505435083312,2.4177151325237247,2.163745926463619,9.910364675032127
2.2677966101694915,0.10332198246887003,0.4614647664097902,0.5174441529887304,2.321810513359722,2.0823619856095945,9.508263552001182
2.313559322033898,0.09954348903427501,0.4436334710859171,0.49849403074085785,2.231567022382478,2.0056896872322483,9.130574901493887
2.3593220338983047,0.09597763065768561,0.4268265006233065,0.4806121746548797,2.1465457528909013,1.9333676247026546,8.775340893582012
2.4050847457627116,0.09260856626507064,0.41096655839048424,0.4637188388177549,2.0663496457863033,1.8650685986810913,8.440803019972336
2.4508474576271184,0.08942190975595565,0.39598360647714514,0.4477416187288128,1.9906187804045032,1.8004957897308884,8.125367555728587
2.4966101694915253,0.0864045721594664,0.381813972614097,0.4326145366537446,1.919026273417046,1.739379422715487,7.8275940734546055
2.542372881355932,0.08354462344030367,0.3683996677219028,0.4182778148035311,1.8512746975380168,1.6814738519138928,7.5461763400411
2.588135593220339,0.08083117120534666,0.35568778737096807,0.40467654264070063,1.787092945952324,1.6265550071576627,7.279927503356049
2.6338983050847458,0.0782542539873532,0.34362998555967295,0.39176062556809654,1.7262334800699648,1.574418150671903,7.027767161376303
2.6796610169491526,0.07580474713547858,0.33218201098902966,0.379484185396322,1.6684699078827094,1.5248759020707183,6.78871004413044
2.725423728813559,0.07347427963739506,0.32130329748896713,0.36780514033070233,1.613594848232168,1.477756495413601,6.5618560816561455
2.771186440677966,0.07125516044411029,0.31095660148423576,0.3566848330572867,1.5614180429912494,1.432902237612936,6.346381666557363
2.8169491525423727,0.06914031307553614,0.30110768042277414,0.3460877007269403,1.511764684757324,1.3901681419883403,6.141531949081923
2.8627118644067795,0.06712321745891359,0.29172500695833037,0.3359809815221553,1.4644739323498754,1.3494203451801212,5.946614027050217
2.9084745762711863,0.06519785809921075,0.28277951441337734,0.32633445323885724,1.419397590354066,1.3105365252092298,5.7609909133456085
2.954237288135593,0.06335867780487092,0.2742443696680965,0.31712019994749596,1.3763986103545847,1.2734026579378224,5.584076180750216
3.0,0.06160053629804452,0.2660947701480296,0.3083124033347673,1.335351347144254,1.2379136995924256,5.415329198257652
