T_K,detuning_meV
101.80904522613066,4.97489486306546
103.26633165829146,4.594370533694159
104.72361809045226,4.210552832889958
106.18090452261308,3.8234881792307274
107.63819095477388,3.433222123042201
109.09547738693468,3.0397993666029244
110.55276381909549,2.6432637837907613
112.01005025125629,2.243658439181395
113.46733668341709,1.8410256066254682
114.9246231155779,1.4354067873127985
116.3819095477387,1.026842727345434
117.8391959798995,0.6153734348322004
119.29648241206031,0.20103819652317334
120.75376884422111,-0.2161244060074896
122.21105527638191,-0.6360764806085939
123.66834170854273,-1.0587808092217266
125.12562814070353,-1.4842008329583045
126.58291457286433,-1.9123006375696416
128.04020100502515,-2.343044939301153
129.49748743718595,-2.7763990711171527
130.95477386934675,-3.2123289692849166
132.41206030150755,-3.650801160307582
133.86934673366835,-4.091782748194772
135.32663316582915,-4.53524140206274
136.78391959798995,-4.981145344050919
138.24120603015075,-5.429463337547347
139.69849246231158,-5.880164675715616
141.15577889447238,-6.333219170309379
142.61306532663318,-6.788597140772179
144.07035175879398,-7.246269403608174
145.52763819095478,-7.706207262021092
146.98492462311557,-8.168382495809867
148.4422110552764,-8.63276735151608
149.8994974874372,-9.099334532813419
151.356783919598,-9.56805719113496
152.8140703517588,-10.038908916529365
154.2713567839196,-10.511863728740023
155.7286432160804,-10.986896068502228
157.18592964824123,-11.463980789049755
158.64321608040203,-11.943093147827044
160.10050251256283,-12.424208798399228
161.55778894472363,-12.907303782557777
163.01507537688443,-13.39235452261156
164.47236180904522,-13.879337813863746
165.92964824120605,-14.368230817263239
167.38693467336685,-14.859011052233084
168.84422110552765,-15.35165638966296
170.30150753768845,-15.846145045067539
171.75879396984925,-16.34245557190517
173.21608040201005,-16.840566855047978
174.67336683417088,-17.340458104406984
176.13065326633168,-17.842108848699525
177.58793969849248,-18.345498929363657
179.04522613065328,-18.850608494608068
180.50251256281408,-19.357417993598915
181.95979899497488,-19.865908170778603
183.4170854271357,-20.376060060312227
184.8743718592965,-20.88785498065837
186.3316582914573,-21.401274529262658
187.7889447236181,-21.916300577369483
189.2462311557789,-22.432915264947837
190.7035175879397,-22.951100995731277
192.16080402010053,-23.470840432366693
193.61809045226133,-23.992116491669215
195.07537688442213,-24.514912339981265
196.53266331658293,-25.039211388634186
197.98994974874373,-25.56499728950712
199.44723618090453,-26.09225393068182
200.90452261306532,-26.62096543219361
202.36180904522615,-27.151116141870936
203.81909547738695,-27.682690631265938
205.27638190954775,-28.21567369167188
206.73366834170855,-28.75005033022382
208.19095477386935,-29.28580576608453
209.64824120603015,-29.822925426708167
211.10552763819098,-30.361394944185214
212.56281407035178,-30.901200151662422
214.02010050251258,-31.442327079838293
215.47738693467338,-31.984761953532058
216.93467336683418,-32.52849118832302
218.39195979899498,-33.0735013872594
219.8492462311558,-33.61977933763627
221.3065326633166,-34.16731200783918
222.7638190954774,-34.71608654425107
224.2211055276382,-35.266090268224694
225.678391959799,-35.81731067311544
227.1356783919598,-36.369735421373676
228.59296482412063,-36.92335234169697
230.05025125628143,-37.478149426239504
231.50753768844223,-38.03411482787733
232.96482412060303,-38.59123685752719
234.42211055276383,-39.149503981521946
235.87939698492463,-39.70890481903422
237.33668341708545,-40.269428139554144
238.79396984924625,-40.8310628604156
240.25125628140705,-41.393798044370826
241.70854271356785,-41.9576228972145
243.16582914572865,-42.52252676545076
244.62311557788945,-43.088499134009915
246.08040201005028,-43.655529624006206
247.53768844221108,-44.22360799054026
248.99497487437188,-44.792724120544804
250.45226130653268,-45.362868030669915
251.90954773869348,-45.93402986521045
253.36683417085428,-46.506199894072566
254.8241206030151,-47.07936851077821
256.2814070351759,-47.653526230509115
257.7386934673367,-48.22866368818657
259.1959798994975,-48.80477163658759
260.6532663316583,-49.38184094449727
262.1105527638191,-49.95986259489471
263.5678391959799,-50.53882768317397
265.0251256281407,-51.11872741539747
266.4824120603015,-51.69955310658247
267.93969849246236,-52.28129617901756
269.39698492462315,-52.86394816061346
270.85427135678395,-53.44750068328041
272.31155778894475,-54.03194548133894
273.76884422110555,-54.61727438995645
275.22613065326635,-55.203479343615136
276.68341708542715,-55.79055237460562
278.14070351758795,-56.3784856115499
279.59798994974875,-56.96727127794831
281.05527638190955,-57.55690169075578
282.51256281407035,-58.14736925898156
283.96984924623115,-58.73866648231419
285.427135678392,-59.330785949772476
286.8844221105528,-59.92372033837889
288.3417085427136,-60.51746241185696
289.7989949748744,-61.112005019352544
291.2562814070352,-61.70734109417708
292.713567839196,-62.30346365257189
294.1708542713568,-62.900365792496245
295.6281407035176,-63.498040692435474
297.0854271356784,-64.09648161022963
298.5427135678392,-64.69568188192353
300.0,-65.29563492063484
