T_hs_K,dot,cavity_top_pairs,kappa_meV,eps,g2_poisson,g2_quiet,t_x,rho2,Z_zpl,F_planar,F_eff,brightness_ok
300.0,"default lens (4.5, 1.5)",none,nan,1.0254258242056813,0.9491357047761202,nan,0.4871187508576189,0.23475862458507643,0.09021204677204443,1.0,1.0,True
300.0,"default lens (4.5, 1.5)",10,2.9772097237705566,0.8141472223290415,0.7458394937283059,0.40911758226065686,0.19126253937429663,0.7790216065973175,0.09021204677204443,95.71741345818204,20.383957477858207,False
300.0,"default lens (4.5, 1.5)",12,1.5880510247798156,0.7771893859663753,0.7292458518742442,0.4019374254162652,0.11499683597193454,0.7790216065973175,0.09021204677204443,177.32832539590555,22.365704826459858,False
300.0,"default lens (4.5, 1.5)",14,0.8517937193214493,0.7529219203267489,0.7180587691601974,0.39716054335789186,0.06586044126340405,0.7790216065973175,0.09021204677204443,328.5226151817694,23.605208225969864,False
300.0,"default lens (4.5, 1.5)",16,0.4582264174325701,0.7384062376771781,0.7112542612670099,0.39427938243519334,0.03671630503295438,0.7790216065973175,0.09021204677204443,608.6287029717489,24.33344882066235,False
300.0,"default lens (4.5, 1.5)",18,0.24689107134190635,0.7301336407266056,0.7073379696899675,0.39262934181549547,0.020168913950005474,0.7790216065973175,0.09021204677204443,1127.559811601144,24.745652065129573,False
300.0,"large lens (7.0, 3.0)",none,nan,1.0314367809817109,0.9498016052819261,nan,0.49727321433771815,0.23475862458507643,0.2279860726603584,1.0,1.0,True
300.0,"large lens (7.0, 3.0)",10,2.9772097237705566,0.782529703428055,0.731676398310792,0.40298197731416285,0.19815475913829206,0.7790216065973175,0.2279860726603584,95.71741345818204,20.383957477858207,False
300.0,"large lens (7.0, 3.0)",12,1.5880510247798156,0.7362786655197832,0.7102497303836114,0.3938555792705998,0.11965154829338201,0.7790216065973175,0.2279860726603584,177.32832539590555,22.365704826459858,False
300.0,"large lens (7.0, 3.0)",14,0.8517937193214493,0.7060517918227727,0.6957767140323623,0.3877925137303304,0.06872272511042415,0.7790216065973175,0.2279860726603584,328.5226151817694,23.605208225969864,False
300.0,"large lens (7.0, 3.0)",16,0.4582264174325701,0.6880386644101658,0.686970054385073,0.38414172942146085,0.038378522602931495,0.7790216065973175,0.2279860726603584,608.6287029717489,24.33344882066235,False
300.0,"large lens (7.0, 3.0)",18,0.24689107134190635,0.6777980673092235,0.6819018012763913,0.38205359104085324,0.021103027213640293,0.7790216065973175,0.2279860726603584,1127.559811601144,24.745652065129573,False
300.0,"flat pancake (6.0, 1.0)",none,nan,1.0274252775756278,0.9493575870981569,nan,0.4892745916406687,0.23475862458507643,0.13991172495545368,1.0,1.0,True
300.0,"flat pancake (6.0, 1.0)",10,2.9772097237705566,0.8051696378917296,0.7418571357715615,0.40738385169731006,0.1929036705930935,0.7790216065973175,0.13991172495545368,95.71741345818204,20.383957477858207,False
300.0,"flat pancake (6.0, 1.0)",12,1.5880510247798156,0.7653729365959965,0.7238278433685998,0.3996176461788088,0.11612701051588653,0.7790216065973175,0.13991172495545368,177.32832539590555,22.365704826459858,False
300.0,"flat pancake (6.0, 1.0)",14,0.8517937193214493,0.7392755894221436,0.711664193522128,0.3944524422212925,0.06656338888719346,0.7790216065973175,0.13991172495545368,328.5226151817694,23.605208225969864,False
300.0,"flat pancake (6.0, 1.0)",16,0.4582264174325701,0.7236832161133927,0.7042648120786772,0.39133867761566454,0.03712715100029826,0.7790216065973175,0.13991172495545368,608.6287029717489,24.33344882066235,False
300.0,"flat pancake (6.0, 1.0)",18,0.24689107134190635,0.7148040070895186,0.7000063775282866,0.38955618133979375,0.020400611234912307,0.7790216065973175,0.13991172495545368,1127.559811601144,24.745652065129573,False
300.0,"tall near-sph (3.0, 3.0)",none,nan,1.0240894173848414,0.9489871896992843,nan,0.48545286215514777,0.23475862458507643,0.06305752299421966,1.0,1.0,True
300.0,"tall near-sph (3.0, 3.0)",10,2.9772097237705566,0.8205280478694048,0.7486512915467246,0.4103457902715558,0.19005054482511885,0.7790216065973175,0.06305752299421966,95.71741345818204,20.383957477858207,False
300.0,"tall near-sph (3.0, 3.0)",12,1.5880510247798156,0.7855700919229649,0.7330551814766525,0.40357560259647896,0.1141685108465091,0.7790216065973175,0.06305752299421966,177.32832539590555,22.365704826459858,False
300.0,"tall near-sph (3.0, 3.0)",14,0.8517937193214493,0.7625997029316951,0.7225482513424478,0.3990715067612921,0.06534752139162196,0.7790216065973175,0.06305752299421966,328.5226151817694,23.605208225969864,False
300.0,"tall near-sph (3.0, 3.0)",16,0.4582264174325701,0.748850706933293,0.716158910328413,0.3963542735528721,0.03641726851251884,0.7790216065973175,0.06305752299421966,608.6287029717489,24.33344882066235,False
300.0,"tall near-sph (3.0, 3.0)",18,0.24689107134190635,0.7410113375176789,0.7124817437969897,0.3947977804128793,0.020000502691066454,0.7790216065973175,0.06305752299421966,1127.559811601144,24.745652065129573,False
