Gamma300_meV,delta_xx_meV,config,g2_q,g2_p,t_x,eps,rho2
3.0,7.5,cav,0.05250346445244669,0.08129012949589176,0.4198418820487719,0.037683182964513465,0.9601528035589278
3.0,8.0,cav,0.0509306130321765,0.07617982399402867,0.4198418820487719,0.03296568222262082,0.9601528035589278
5.0,1.0,slit,nan,0.9607682229331581,0.48726330495075504,1.1351573268588568,0.23475862458507643
5.0,1.5,slit,nan,0.9520001725328794,0.48726330495075504,1.0515054784258964,0.23475862458507643
5.0,2.0,slit,0.8288487548578336,0.9388452321452824,0.48726330495075504,0.9362690750563805,0.23475862458507643
5.0,2.5,slit,0.8212281413547466,0.9217786751617315,0.48726330495075504,0.8019710701199988,0.23475862458507643
5.0,3.0,slit,0.812849281070579,0.9018657629850737,0.48726330495075504,0.6627098793223771,0.23475862458507643
5.0,3.5,slit,0.8046884357558323,0.8813058160727085,0.48726330495075504,0.5346514867274265,0.23475862458507643
5.0,4.0,slit,0.7974707213120219,0.8621540291379419,0.48726330495075504,0.42701850812711956,0.23475862458507643
5.0,4.5,slit,0.7914346799258205,0.8454324610817903,0.48726330495075504,0.34071988173939793,0.23475862458507643
5.0,5.0,slit,0.786695462264449,0.8318485710569204,0.48726330495075504,0.2751694578936892,0.23475862458507643
5.0,5.5,slit,0.7829821622931035,0.8209231037470999,0.48726330495075504,0.22509239157184263,0.23475862458507643
5.0,6.0,slit,0.7800871474929016,0.8122319712555959,0.48726330495075504,0.1868004161750959,0.23475862458507643
5.0,6.5,slit,0.7777919317365198,0.8052329434431817,0.48726330495075504,0.15689381414102363,0.23475862458507643
5.0,7.0,slit,0.7760031832004914,0.7997114383753059,0.48726330495075504,0.13385669756241741,0.23475862458507643
5.0,7.5,slit,0.774563746048553,0.7952254636222693,0.48726330495075504,0.11548686510420535,0.23475862458507643
5.0,8.0,slit,0.773393940871338,0.7915516368406295,0.48726330495075504,0.10066702443880493,0.23475862458507643
5.0,1.0,cav,nan,0.7958500133094918,0.3884834099122725,1.0304354344740605,0.95263048487234
5.0,1.5,cav,0.3004813803529136,0.7409109795931047,0.3884834099122725,0.9140198865488536,0.95263048487234
5.0,2.0,cav,0.27045592588183176,0.6730927444476312,0.3884834099122725,0.7847173499687805,0.95263048487234
5.0,2.5,cav,0.2385068752973879,0.5967473237258799,0.3884834099122725,0.6545681295151679,0.95263048487234
5.0,3.0,cav,0.2070362492511003,0.5172969298380546,0.3884834099122725,0.5331243615643019,0.95263048487234
5.0,3.5,cav,0.1785507153595095,0.4417117653418168,0.3884834099122725,0.4284452543539695,0.95263048487234
