rho\delta_meV,1.00,1.20,1.40,1.60,1.80,2.00,2.20,2.40,2.60,2.80,3.00,3.20,3.40,3.60,3.80,4.00,4.20,4.40,4.60,4.80,5.00,5.20,5.40,5.60,5.80,6.00,6.20,6.40,6.60,6.80,7.00,7.20,7.40,7.60,7.80,8.00,8.20,8.40,8.60,8.80,9.00,9.20,9.40,9.60,9.80,10.00,10.20,10.40,10.60,10.80,11.00,11.20,11.40,11.60,11.80,12.00,12.20,12.40,12.60,12.80,13.00
0.784,99.3532837456296,107.97203864874609,116.19050100840104,124.1119921157806,131.8042966178764,139.31442818768846,146.67639254695678,153.91560854368436,161.0515859133593,168.0996286165464,175.07196253126313,181.97850729375205,188.82741964624438,195.62548526092723,202.37840726457944,209.09102260963118,215.76746698057104,222.4113022887468,229.02561652266013,235.61310285031504,242.176122950812,248.71675820318342,255.23685141913302,261.73804114384984,268.22179005380895,274.6894086274697,281.14207500334305,287.58085173105064,294.0066999874398,300.4204916939925,306.8230199021491,313.2150077291735,319.5971160810295,325.96995035560394,332.3340662757255,338.68997499461693,345.03814756571956,351.3790188801795,357.7129911400989,364.0404369299795,370.36170194538136,376.67710741890187,382.9869522847148,389.2915151115594,395.59105583860946,401.8858173312474,408.17602678247204,414.4618969758303,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.792,101.70806456789433,110.65027193287096,119.19034803150862,127.4322141084267,135.4440828611987,143.27327148865152,150.95400190046348,158.51184786601516,165.96643065642274,173.33313468530832,180.6242437556648,187.84971893379407,195.01774620269134,202.1351314077765,209.207591058439,216.23997039069945,223.23640953087306,230.20047194078506,237.1352449850383,244.04341958234727,250.92735395823547,257.78912515471166,264.63057101499,271.4533246753708,278.2588431136246,285.04843093546515,291.8232603188808,298.5843878393498,305.3327687332494,312.06926905839646,318.7946761088824,325.50970737174794,332.2150182676414,338.9112088627444,345.5988297120057,352.27838696610706,358.95034684469283,365.61513957385614,372.273162855985,378.9247849423409,385.5703473549074,392.21016731009877,398.8445398776239,405.47373991082713,412.09802377688175,418.7176309061324,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.800,103.93672841896478,113.18921325007977,122.0379148984066,130.5873259621585,138.90605806904205,147.0417067475064,155.02868930825207,162.8927175509889,170.65351061079127,178.326522270203,185.9240852486837,193.45619468974473,200.93105980062683,208.3555016526807,215.73524606648425,223.07514319774054,230.37933483372035,237.65138368522457,244.89437458683096,252.11099463251594,259.3035972900543,266.4742541914311,273.62479732943757,280.7568537118641,287.8718740328477,294.97115655431116,302.0558671240724,309.1270560502453,316.18567240853736,323.23257623078825,330.2685489398573,337.29430232294544,344.31048628019926,351.31769554193306,358.3164755160251,365.3073273929913,372.2907126192149,379.26705683027103,386.2367533181241,393.2001660968963,400.15763262131077,407.109466205482,414.05595817307767,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.808,106.05797797940613,115.60936306788062,124.75547792455473,133.60135806219478,142.21598722499039,150.6472167660104,158.92964114841016,167.08909555365972,175.145385228112,183.11402387470298,191.00738550031383,198.83549314569973,206.6065742121864,214.32746089612192,222.0038849714183,229.64069876134454,237.24204345764883,244.81147916543705,252.35208666943072,259.8665479914489,267.35721082527016,274.8261405638914,282.2751626800018,289.7058975141117,297.11978905108117,304.5181288753374,311.9020762464934,319.27267501650203,326.63086796457355,333.9775090084149,341.31337364971114,348.6391679584194,355.9555363243999,363.2630681765295,370.5623038266931,377.8537395737221,385.13783217170567,392.4150027580181,399.6856403140846,406.9501047247177,414.2087294920202,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.816,108.08651532146905,117.92686253126885,127.36059857365035,136.4932743683894,145.3942211803951,154.11152602433867,162.6799443951022,171.12542204272177,179.46784013057186,187.72276414102816,195.90260284223768,204.0174019146507,212.07540270632308,220.0834450933471,228.04726400318032,235.971711651262,243.86092677763372,251.71846537133388,259.54740294061776,267.3504154416005,275.12984398969274,282.88774709608697,290.6259432007064,298.34604557535204,306.0494911827118,313.73756469589716,321.41141861530195,329.07209021753806,336.7205159126752,344.3575434649392,351.9839424503007,359.60041324076883,367.20759475602244,374.806071180632,382.39637780388875,389.9790061169333,397.554408275013,405.12300101794244,412.6851691236807,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.824,110.03412575412949,120.15466906099755,129.86739036078507,139.27832976593345,148.4571435192338,157.45213616151887,166.298209889399,175.02140973151836,183.64168385019002,192.17464243360155,200.63272337148373,209.02599047291733,217.36269540658395,225.64968280859466,233.89268840359,242.09656239343167,250.26543952808424,258.4028704410448,266.51192436336714,274.59527038525266,282.65524240660307,290.6938915547362,298.7130288429471,306.71426017467456,314.6990152668295,322.66857171851734,330.62407516308303,338.5665562355862,346.49694494555297,354.41608290562,362.32473378912255,370.22359231438895,378.1132919918309,385.99441183586896,393.8674821975728,401.73298985384463,409.5913824613526,417.44307246753306,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.832,111.91041445046721,122.30335675105744,132.2873825913557,141.96899649001716,151.41815899354697,160.6833757886634,169.79968296240258,178.79321480634098,187.68397862302663,196.48762311022438,205.21661037053855,213.88101843370532,222.48910617067304,231.04772048008454,239.5625958826713,248.0385789602442,256.4797991874366,264.8898008119577,273.2716459704243,281.6279962382541,289.9611777924729,298.2732339803915,306.5659680916724,314.8409784381656,323.0996873324766,331.343365194145,339.57315072514757,347.7900678936421,355.99504031088145,364.18890346250555,372.3724151657516,380.54626454580284,388.7110797783389,396.86743479238066,405.015855092337,413.1568228399992,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.840,113.72332208736043,124.38167754163442,134.63012668363808,144.5756151057867,154.2883886628697,163.81713933309948,173.19702557886194,182.45426201577357,191.6089081166574,200.67664562359278,209.66995654605853,218.59892972891976,227.47182854094717,236.29549999201845,245.07567568654486,253.81719722384878,262.5241877185035,271.20018417622487,279.84824096421653,288.471011615693,297.07081417807785,305.6496839122119,314.2094161563582,322.7516014677094,331.27765464749245,339.78883887249685,348.2862858853332,356.77101298801426,365.2439374196256,373.70588858459087,382.1576185030717,390.59981078126293,399.03308834259224,407.45802012034983,415.8751268702763,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.848,115.47949503503332,126.39696467695467,136.90363257598074,147.1068634827534,157.0771710692352,166.86342008064094,176.50088095424871,186.01584060869936,195.42840446664195,204.75428246591764,214.0059727231128,223.19357190887968,232.3253455308004,241.40813884510135,250.44767906506604,259.44880164296774,268.4156224165781,277.35167043113324,286.25999172484444,295.1432313600526,304.00369893071183,312.8434213705623,321.66418589545356,330.46757519479434,339.25499648995174,348.02770568242704,356.7868275554647,365.5333727676334,374.2682522278483,382.99228931796097,391.70623033294396,400.4107534398354,409.1064763987233,417.793963240998,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.856,117.1845570118312,128.3554291608889,139.11468972482544,149.5701020386041,159.7924314467964,169.83070310358016,179.72028998432506,189.4875440766482,199.15261117539194,208.7312250869727,218.23589666323096,227.676727761238,237.06198395781394,246.39850713089982,255.69201882496418,264.94734734525264,274.16860047333466,283.3592986882286,292.52247923718824,301.6607783605723,310.77649694007414,319.8716533973202,328.94802670126955,338.0071915967419,347.05054768589616,356.0793435904052,365.0946971515514,374.09761242456443,383.0889940441848,392.0696594374167,401.04034925122687,410.0017363001389,418.9544332713267,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
